NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,CENTRO,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_AMPLA,RETENCAO_AMPLA,SUCESSO_AMPLA,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,EVASAO,RETENCAO,SUCESSO
2011,760.0,312.0,18.0,79.07894736842105,,,,,,23.269028361453202,,,MACAE,,,,79.07894736842105,,,79.07894736842105,,,23.269028361453202,,,9.40131170718758,,,10.617690058479532,,,17.986842105263158,,,26.39082963797823,,,24.615394653758194,,,25.061453177330304,,
2012,918.0,342.0,28.0,86.22004357298475,,,,,,16.215875446391273,,,MACAE,,,,65.98220769789398,,,,,,19.248718110665834,,,10.920796965871025,,,9.930241327300152,,,8.68496758488666,,,29.78546755851593,,,21.813035513880198,,,22.403928858789964,,
2013,1021.0,264.0,52.0,59.669152359348125,,,81.48873653281098,,,1.7224492552939985,,,MACAE,62.29187071498531,,,26.76043684136885,,,34.57394711067581,,,12.662476036368538,,,9.711445485025758,,,4.504106572436353,,,12.308845080379694,,,13.789948392330624,,,14.011976356313756,,,14.458449500890858,,
2014,1138.0,365.0,71.0,34.00294609421231,,,2.2847100175746924,,,26.639864004517513,,,MACAE,70.1039645767238,,,39.22357885725636,,,69.75322202694785,,,15.778830087934338,,,11.698386990016393,,,14.396114040226518,,,18.82003788418551,,,24.602510480926586,,,19.558319174876146,,,19.703693262324894,,
2015,1220.0,378.0,186.0,30.998622937530435,,,26.50024296943592,,,5.867044880545362,31.214009718782364,39.890559936703205,MACAE,51.01125040180006,,,34.851476918579706,,,44.04274596077875,,,15.906803797849797,30.693114274985675,40.58338752471578,6.363868207020573,27.308669331605774,49.38772975658221,7.106996487119438,3.3668032786885247,75.78688524590164,14.094932530803034,25.819547938400397,53.047814207650276,26.324417601380503,20.560701593488478,47.0658030494096,19.416711445797063,28.88585949530364,41.00451912951913,20.656211423180967,28.448814076190416,41.58120127546966
2016,1311.0,429.0,148.0,19.38378768839393,4.118993135011442,43.6754930805274,19.444847083730114,,,0.8336057535142204,47.3408878001969,42.96708958391396,MACAE,24.216578997682213,,,21.60825386181917,27.018633540372665,30.993425592967927,25.221343231450017,,,10.366117857885751,32.39127650564316,52.742522330820385,4.691508910616462,24.651985309082,71.05535151084746,3.7376048817696415,15.17162471395881,55.545385202135776,7.09342897034093,20.994492632226397,77.28070175438596,18.302353901534918,24.987552972801886,49.98311950738784,13.509492028681972,33.90019615641525,51.19038702514304,14.127389346033215,32.95965892236621,51.46325282170606
2017,1434.0,395.0,136.0,11.846720248263509,48.157685397988836,23.37618063658963,11.151113537334036,,,7.980784131411747,13.366521314454573,63.433857003763066,MACAE,17.746918386136418,,,12.664328812905225,44.677210452644424,34.07258300809863,14.978186536309147,,,8.93456585695864,48.093195620228094,45.15747666029665,1.4729811031804634,30.68136454777702,63.57566248256625,8.533663476638237,28.156546788868962,71.23264926612207,7.231224664525182,22.522885258240905,73.22922893006576,15.17063484030187,64.15761996305929,30.224314272431425,9.771287583955322,46.035815246900285,44.8557096414745,10.35060201864319,49.23376014894362,42.234508608817634
2018,1567.0,419.0,132.0,11.520702920716166,53.1996438195921,30.255577703545164,11.61247747605526,35.57899308471135,42.216511417876745,9.000212720697723,17.61327377153797,4.403318442884492,MACAE,14.890091207055596,25.446713465220167,16.666666666666668,13.33086853351315,42.874185736890624,38.45103878607389,14.883824170231797,21.982556902786644,34.36857406225625,10.148519646111072,41.98620985850528,50.25620812362056,7.030675844403988,23.820884589653094,71.84593220011216,10.707433700226222,32.67653177184316,64.87677393867567,9.140761021415383,20.875018221014688,76.23868367327205,11.813513478825339,54.966240311486,32.352571912240066,11.741746870009578,40.44807096449554,49.82772828164984,11.583004447634835,43.85326691541408,46.59857767869988
2019,1681.0,400.0,190.0,10.984519683924606,30.588277766330588,57.02382257681974,10.739782603896197,22.779042053348803,63.53387061745182,2.8405710886377156,,,MACAE,11.04631045747203,22.752726781030734,48.165535790696254,10.647293881842645,28.33886066029834,55.97446796756609,9.286602635877818,28.130523946326704,54.963486798436875,10.593393250021716,25.818393207675264,66.06108406227384,5.27670766014737,15.180917325288235,82.3114076088496,2.653648403945846,21.01866802640152,55.911163989688674,8.961683607074017,31.25091478590247,63.6616101526869,15.37975276609466,32.53669894855697,53.69610510449297,9.384418776634439,28.520739392732743,62.67177838577112,10.564987510478032,28.670490630145686,61.183503140907916
2020,1741.0,382.0,192.0,9.313015162173594,50.79819313372399,43.59645736975321,8.395038949623762,39.89448017259559,52.14586723900059,3.2165422171166,,,MACAE,8.455125149650444,50.81450761405411,40.69158987421855,9.034177388294063,52.13574244390682,41.30646353506779,9.820553930753112,53.39408528306469,38.66375998742528,8.654067345023824,41.47965351841199,54.882027071054964,1.400057438253877,14.659199693662647,83.08922075435574,1.4025703618609995,28.569787478460654,57.759908098793794,10.294605096993036,32.44487764878345,64.7999234156615,12.387395040558005,54.88986649957356,40.228969766591824,7.977773230790124,47.00141305300289,48.88607778900713,8.755306508845418,47.191306009534884,48.40171191438543
