,CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA,DURACAO,ANO_INTEGRALIZACAO
75,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2011,335,333,0,2,99.8127340825,0.0,0.1872659175,0.0,0.1872659175,5,2015
76,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2012,335,312,0,21,84.3144661125,0.0,15.685533888,0.0,15.498267970499999,5,2015
77,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2013,335,235,3,74,22.0037453175,0.2808988765,77.715355805,0.2808988765,62.029821917250004,5,2015
78,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2014,335,0,0,235,0.0,0.2808988765,99.7191011225,0.0,22.0037453175,5,2015
79,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2015,335,0,0,0,0.0,0.2808988765,99.7191011225,0.0,0.0,5,2015
80,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2016,335,0,0,0,0.0,0.2808988765,99.7191011225,0.0,0.0,5,2015
81,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2017,335,0,0,0,0.0,0.2808988765,99.7191011225,0.0,0.0,5,2015
82,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2018,335,0,0,0,0.0,0.2808988765,99.7191011225,0.0,0.0,5,2015
83,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2019,335,0,0,0,0.0,0.2808988765,99.7191011225,0.0,0.0,5,2015
84,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2011,2020,335,0,0,0,0.0,0.2808988765,99.7191011225,0.0,0.0,5,2015
85,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2012,384,383,0,1,99.902723735,0.0,0.0972762645,0.0,0.0972762645,5,2016
86,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2013,384,359,2,22,97.568093385,0.19455252925,2.2373540855,0.19455252925,2.140077821,5,2016
87,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2012,2014,384,127,0,232,75.0,0.19455252925,24.80544747,0.0,22.568093385,5,2016
