CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,MATRICULADOS,MATRICULADOS_FEM,MATRICULADOS_MASC,MATRICULADOS_DIURNO,MATRICULADOS_NOTURNO,MATRICULADOS_0_17,MATRICULADOS_18_24,MATRICULADOS_25_29,MATRICULADOS_30_34,MATRICULADOS_35_39,MATRICULADOS_40_49,MATRICULADOS_50_59,MATRICULADOS_60_MAIS,MATRICULADOS_BRANCA,MATRICULADOS_PRETA,MATRICULADOS_PARDA,MATRICULADOS_AMARELA,MATRICULADOS_INDIGENA,MATRICULADOS_CORND,MATRICULADOS_NACBRAS,MATRICULADOS_NACESTRANG,MATRICULADOS_DEFICIENTE,MATRICULADOS_FINANC,MATRICULADOS_FINANC_REEMB,MATRICULADOS_FIES,MATRICULADOS_RPFIES,MATRICULADOS_FINANC_REEMB_OUTROS,MATRICULADOS_FINANC_NREEMB,MATRICULADOS_PROUNII,MATRICULADOS_PROUNIP,MATRICULADOS_NRPFIES,MATRICULADOS_FINANC_NREEMB_OUTROS,MATRICULADOS_RESERVA_VAGA,MATRICULADOS_RVREDEPUBLICA,MATRICULADOS_RVETNICO,MATRICULADOS_RVPDEF,MATRICULADOS_RVSOCIAL_RF,MATRICULADOS_RVOUTROS,MATRICULADOS_PROCESCPUBLICA,MATRICULADOS_PROCESCPRIVADA,MATRICULADOS_PROCNAOINFORMADA,MATRICULADOS_PARFOR,MATRICULADOS_APOIO_SOCIAL,MATRICULADOS_ATIV_EXTRACURRICULAR,MATRICULADOS_MOB_ACADEMICA,MATRICULADOS_AMPLA
45199,2010,,MÚSICA - CONTRABAIXO,5.0,1.0,4.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0
314326,2010,CCMN,GEOGRAFIA,298.0,108.0,190.0,298.0,0.0,0.0,177.0,71.0,23.0,16.0,9.0,2.0,0.0,167.0,15.0,61.0,4.0,2.0,49.0,296.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,298.0,116.0,0.0,298.0
14327,2010,CCMN,GEOLOGIA,232.0,82.0,150.0,232.0,0.0,0.0,179.0,40.0,9.0,3.0,0.0,1.0,0.0,157.0,9.0,35.0,0.0,2.0,29.0,230.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,232.0,97.0,0.0,232.0
1114296,2010,CCJE,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,89.0,33.0,56.0,89.0,0.0,0.0,74.0,11.0,2.0,1.0,1.0,0.0,0.0,20.0,6.0,6.0,1.0,0.0,56.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,89.0,3.0,0.0,89.0
14340,2010,CLA,GRAVURA,75.0,35.0,40.0,75.0,0.0,1.0,39.0,19.0,8.0,3.0,2.0,3.0,0.0,37.0,7.0,11.0,3.0,0.0,17.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,74.0,8.0,0.0,75.0
113332,2010,CLA,HISTÓRIA DA ARTE,116.0,94.0,22.0,116.0,0.0,2.0,95.0,7.0,4.0,2.0,3.0,3.0,0.0,49.0,7.0,15.0,0.0,0.0,45.0,115.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,16.0,0.0,116.0
14328,2010,CCMN,MATEMÁTICA,59.0,26.0,33.0,59.0,0.0,0.0,40.0,15.0,2.0,1.0,1.0,0.0,0.0,34.0,4.0,8.0,4.0,0.0,9.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,59.0,15.0,0.0,59.0
44417,2010,,MATEMÁTICA,200.0,65.0,135.0,0.0,200.0,0.0,103.0,50.0,20.0,15.0,11.0,1.0,0.0,91.0,26.0,42.0,1.0,1.0,39.0,199.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,25.0,0.0,200.0
314328,2010,CCMN,MATEMÁTICA,87.0,25.0,62.0,87.0,0.0,1.0,66.0,15.0,4.0,1.0,0.0,0.0,0.0,36.0,5.0,17.0,1.0,1.0,27.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,87.0,11.0,0.0,87.0
71061,2010,CCMN,MATEMÁTICA APLICADA,79.0,12.0,67.0,79.0,0.0,0.0,71.0,6.0,2.0,0.0,0.0,0.0,0.0,42.0,1.0,13.0,2.0,3.0,18.0,78.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,17.0,0.0,79.0
14359,2010,CCS,MEDICINA,1248.0,736.0,512.0,1248.0,0.0,0.0,979.0,250.0,16.0,1.0,2.0,0.0,0.0,877.0,21.0,113.0,18.0,6.0,213.0,1237.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0,0.0,1247.0,428.0,0.0,1248.0
14325,2010,CCMN,METEOROLOGIA,125.0,61.0,64.0,125.0,0.0,1.0,93.0,26.0,1.0,4.0,0.0,0.0,0.0,63.0,7.0,22.0,0.0,0.0,33.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,124.0,47.0,0.0,125.0
122390,2010,CLA,MÙSICA - REGÊNCIA CORAL,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
