CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,INGRESSANTES,INGRESSANTES_FEM,INGRESSANTES_MASC,INGRESSANTES_DIURNO,INGRESSANTES_NOTURNO,INGRESSANTES_VG_NOVA,INGRESSANTES_VESTIBULAR,INGRESSANTES_ENEM,INGRESSANTES_AVALIACAO_SERIADA,INGRESSANTES_SELECAO_SIMPLIFICA,INGRESSANTES_EGR,INGRESSANTES_OUTRO_TIPO_SELECAO,INGRESSANTES_PROC_SELETIVO,INGRESSANTES_VG_REMANESC,INGRESSANTES_VG_PROG_ESPECIAL,INGRESSANTES_OUTRA_FORMA,INGRESSANTES_0_17,INGRESSANTES_18_24,INGRESSANTES_25_29,INGRESSANTES_30_34,INGRESSANTES_35_39,INGRESSANTES_40_49,INGRESSANTES_50_59,INGRESSANTES_60_MAIS,INGRESSANTES_BRANCA,INGRESSANTES_PRETA,INGRESSANTES_PARDA,INGRESSANTES_AMARELA,INGRESSANTES_INDIGENA,INGRESSANTES_CORND,INGRESSANTES_NACBRAS,INGRESSANTES_NACESTRANG,INGRESSANTES_DEFICIENTE,INGRESSANTES_FINANC,INGRESSANTES_FINANC_REEMB,INGRESSANTES_FIES,INGRESSANTES_RPFIES,INGRESSANTES_FINANC_REEMB_OUTROS,INGRESSANTES_FINANC_NREEMB,INGRESSANTES_PROUNII,INGRESSANTES_PROUNIP,INGRESSANTES_NRPFIES,INGRESSANTES_FINANC_NREEMB_OUTROS,INGRESSANTES_RESERVA_VAGA,INGRESSANTES_RVREDEPUBLICA,INGRESSANTES_RVETNICO,INGRESSANTES_RVPDEF,INGRESSANTES_RVSOCIAL_RF,INGRESSANTES_RVOUTROS,INGRESSANTES_PROCESCPUBLICA,INGRESSANTES_PROCESCPRIVADA,INGRESSANTES_PROCNAOINFORMADA,INGRESSANTES_PARFOR,INGRESSANTES_APOIO_SOCIAL,INGRESSANTES_ATIV_EXTRACURRICULAR,INGRESSANTES_MOB_ACADEMICA,INGRESSANTES_AMPLA
33821,2010,CLA,MÚSICA - COMPOSIÇÃO,9.0,0.0,9.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0
14326,2010,CCMN,GEOGRAFIA,69.0,24.0,45.0,0.0,69.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,52.0,7.0,4.0,1.0,2.0,2.0,1.0,29.0,3.0,8.0,1.0,1.0,27.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,69.0,8.0,0.0,69.0
314326,2010,CCMN,GEOGRAFIA,48.0,23.0,25.0,48.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,38.0,8.0,1.0,0.0,1.0,0.0,0.0,15.0,2.0,5.0,1.0,0.0,25.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,2.0,0.0,48.0
14327,2010,CCMN,GEOLOGIA,37.0,17.0,20.0,37.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,5.0,0.0,0.0,14.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,1.0,0.0,37.0
1114296,2010,CCJE,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,101.0,40.0,61.0,101.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,12.0,2.0,1.0,1.0,0.0,0.0,20.0,6.0,6.0,1.0,0.0,68.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,3.0,0.0,101.0
14340,2010,CLA,GRAVURA,24.0,12.0,12.0,24.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,4.0,2.0,0.0,0.0,1.0,0.0,7.0,2.0,6.0,0.0,0.0,9.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,23.0,1.0,0.0,24.0
113332,2010,CLA,HISTÓRIA DA ARTE,69.0,59.0,10.0,69.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,56.0,4.0,1.0,1.0,3.0,2.0,0.0,23.0,4.0,8.0,0.0,0.0,34.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,69.0
14328,2010,CCMN,MATEMÁTICA,16.0,6.0,10.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,4.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,1.0,0.0,16.0
44417,2010,,MATEMÁTICA,62.0,23.0,39.0,0.0,62.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,43.0,8.0,4.0,4.0,3.0,0.0,0.0,16.0,12.0,12.0,0.0,0.0,22.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0,0.0,62.0
314328,2010,CCMN,MATEMÁTICA,48.0,17.0,31.0,48.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,43.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,1.0,3.0,0.0,1.0,32.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,0.0,48.0
