CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,INGRESSANTES,INGRESSANTES_FEM,INGRESSANTES_MASC,INGRESSANTES_DIURNO,INGRESSANTES_NOTURNO,INGRESSANTES_VG_NOVA,INGRESSANTES_VESTIBULAR,INGRESSANTES_ENEM,INGRESSANTES_AVALIACAO_SERIADA,INGRESSANTES_SELECAO_SIMPLIFICA,INGRESSANTES_EGR,INGRESSANTES_OUTRO_TIPO_SELECAO,INGRESSANTES_PROC_SELETIVO,INGRESSANTES_VG_REMANESC,INGRESSANTES_VG_PROG_ESPECIAL,INGRESSANTES_OUTRA_FORMA,INGRESSANTES_0_17,INGRESSANTES_18_24,INGRESSANTES_25_29,INGRESSANTES_30_34,INGRESSANTES_35_39,INGRESSANTES_40_49,INGRESSANTES_50_59,INGRESSANTES_60_MAIS,INGRESSANTES_BRANCA,INGRESSANTES_PRETA,INGRESSANTES_PARDA,INGRESSANTES_AMARELA,INGRESSANTES_INDIGENA,INGRESSANTES_CORND,INGRESSANTES_NACBRAS,INGRESSANTES_NACESTRANG,INGRESSANTES_DEFICIENTE,INGRESSANTES_FINANC,INGRESSANTES_FINANC_REEMB,INGRESSANTES_FIES,INGRESSANTES_RPFIES,INGRESSANTES_FINANC_REEMB_OUTROS,INGRESSANTES_FINANC_NREEMB,INGRESSANTES_PROUNII,INGRESSANTES_PROUNIP,INGRESSANTES_NRPFIES,INGRESSANTES_FINANC_NREEMB_OUTROS,INGRESSANTES_RESERVA_VAGA,INGRESSANTES_RVREDEPUBLICA,INGRESSANTES_RVETNICO,INGRESSANTES_RVPDEF,INGRESSANTES_RVSOCIAL_RF,INGRESSANTES_RVOUTROS,INGRESSANTES_PROCESCPUBLICA,INGRESSANTES_PROCESCPRIVADA,INGRESSANTES_PROCNAOINFORMADA,INGRESSANTES_PARFOR,INGRESSANTES_APOIO_SOCIAL,INGRESSANTES_ATIV_EXTRACURRICULAR,INGRESSANTES_MOB_ACADEMICA,INGRESSANTES_AMPLA
14348,2009,CFCH,CIENCIAS SOCIAIS,155.0,88.0,67.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,136.0,10.0,4.0,0.0,2.0,2.0,0.0,53.0,3.0,15.0,0.0,0.0,84.0,142.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,12.0,0.0,155.0
14337,2009,CLA,COMPOSICAO DE INTERIOR,35.0,31.0,4.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,1.0,2.0,0.0,1.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,20.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,35.0
14338,2009,CLA,COMPOSICAO PAISAGISTICA,20.0,12.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,9.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0
14357,2009,CFCH,COMUNICACAO SOCIAL,242.0,149.0,93.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,228.0,4.0,3.0,1.0,0.0,0.0,0.0,105.0,3.0,10.0,0.0,0.0,124.0,237.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,83.0,0.0,242.0
23972,2009,CFCH,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,49.0,29.0,20.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,6.0,0.0,0.0,7.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.0,0.0,49.0
116842,2009,CLA,COMUNICACAO VISUAL DESIGN,198.0,105.0,93.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,189.0,9.0,0.0,0.0,0.0,0.0,0.0,122.0,1.0,26.0,2.0,1.0,46.0,198.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,37.0,0.0,198.0
14372,2009,CCS,DANCA,64.0,56.0,8.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,40.0,17.0,4.0,2.0,0.0,0.0,0.0,14.0,4.0,11.0,4.0,1.0,30.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,0.0,64.0
33825,2009,CLA,DESENHO INDUSTRIAL - PROJETO DO PRODUTO,55.0,28.0,27.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3.0,0.0,0.0,18.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0,0.0,55.0
14363,2009,CCJE,DIREITO,523.0,278.0,245.0,0.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,461.0,26.0,12.0,12.0,4.0,2.0,0.0,188.0,6.0,41.0,0.0,0.0,288.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,523.0
30273,2009,CLA,EDUCACAO ARTISTICA - ARTES PLASTICAS,68.0,47.0,21.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,40.0,14.0,3.0,7.0,3.0,1.0,0.0,32.0,2.0,7.0,0.0,2.0,25.0,67.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,6.0,0.0,68.0
