CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,MATRICULADOS,MATRICULADOS_FEM,MATRICULADOS_MASC,MATRICULADOS_DIURNO,MATRICULADOS_NOTURNO,MATRICULADOS_0_17,MATRICULADOS_18_24,MATRICULADOS_25_29,MATRICULADOS_30_34,MATRICULADOS_35_39,MATRICULADOS_40_49,MATRICULADOS_50_59,MATRICULADOS_60_MAIS,MATRICULADOS_BRANCA,MATRICULADOS_PRETA,MATRICULADOS_PARDA,MATRICULADOS_AMARELA,MATRICULADOS_INDIGENA,MATRICULADOS_CORND,MATRICULADOS_NACBRAS,MATRICULADOS_NACESTRANG,MATRICULADOS_DEFICIENTE,MATRICULADOS_FINANC,MATRICULADOS_FINANC_REEMB,MATRICULADOS_FIES,MATRICULADOS_RPFIES,MATRICULADOS_FINANC_REEMB_OUTROS,MATRICULADOS_FINANC_NREEMB,MATRICULADOS_PROUNII,MATRICULADOS_PROUNIP,MATRICULADOS_NRPFIES,MATRICULADOS_FINANC_NREEMB_OUTROS,MATRICULADOS_RESERVA_VAGA,MATRICULADOS_RVREDEPUBLICA,MATRICULADOS_RVETNICO,MATRICULADOS_RVPDEF,MATRICULADOS_RVSOCIAL_RF,MATRICULADOS_RVOUTROS,MATRICULADOS_PROCESCPUBLICA,MATRICULADOS_PROCESCPRIVADA,MATRICULADOS_PROCNAOINFORMADA,MATRICULADOS_PARFOR,MATRICULADOS_APOIO_SOCIAL,MATRICULADOS_ATIV_EXTRACURRICULAR,MATRICULADOS_MOB_ACADEMICA,MATRICULADOS_AMPLA
14366,2009,CCJE,CIENCIAS ECONOMICAS,903.0,290.0,613.0,0.0,0.0,3.0,701.0,165.0,20.0,10.0,4.0,0.0,0.0,602.0,12.0,95.0,6.0,2.0,186.0,885.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,92.0,0.0,903.0
116844,2009,CCMN,CIENCIAS MATEMATICAS E DA TERRA,102.0,40.0,62.0,0.0,0.0,4.0,86.0,5.0,2.0,3.0,2.0,0.0,0.0,52.0,2.0,13.0,3.0,0.0,32.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,4.0,0.0,102.0
14337,2009,CLA,COMPOSICAO DE INTERIOR,126.0,118.0,8.0,0.0,0.0,0.0,91.0,26.0,5.0,1.0,3.0,0.0,0.0,82.0,2.0,15.0,3.0,0.0,24.0,126.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,6.0,0.0,126.0
14338,2009,CLA,COMPOSICAO PAISAGISTICA,86.0,65.0,21.0,0.0,0.0,0.0,58.0,19.0,3.0,3.0,2.0,1.0,0.0,58.0,5.0,11.0,0.0,0.0,12.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,12.0,0.0,86.0
116842,2009,CLA,COMUNICACAO VISUAL DESIGN,181.0,96.0,85.0,0.0,0.0,0.0,174.0,7.0,0.0,0.0,0.0,0.0,0.0,114.0,1.0,22.0,1.0,1.0,42.0,181.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,34.0,0.0,181.0
14372,2009,CCS,DANCA,232.0,208.0,24.0,0.0,0.0,1.0,131.0,70.0,17.0,3.0,9.0,1.0,0.0,106.0,14.0,53.0,13.0,1.0,45.0,232.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,53.0,0.0,232.0
33825,2009,CLA,DESENHO INDUSTRIAL - PROJETO DO PRODUTO,272.0,120.0,152.0,0.0,0.0,0.0,206.0,53.0,6.0,3.0,4.0,0.0,0.0,177.0,9.0,40.0,3.0,2.0,41.0,272.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,56.0,0.0,272.0
14363,2009,CCJE,DIREITO,2654.0,1340.0,1314.0,0.0,0.0,6.0,2104.0,301.0,92.0,67.0,68.0,14.0,2.0,1747.0,69.0,355.0,16.0,9.0,458.0,2646.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2654.0,133.0,0.0,2654.0
30273,2009,CLA,EDUCACAO ARTISTICA - ARTES PLASTICAS,270.0,202.0,68.0,0.0,0.0,0.0,152.0,60.0,19.0,16.0,13.0,8.0,2.0,162.0,14.0,49.0,1.0,2.0,42.0,267.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,53.0,0.0,270.0
23969,2009,CLA,EDUCACAO ARTISTICA - DESENHO,205.0,139.0,66.0,0.0,0.0,0.0,110.0,41.0,23.0,7.0,16.0,6.0,2.0,111.0,15.0,51.0,2.0,0.0,26.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,30.0,0.0,205.0
44892,2009,CCS,EDUCACAO FISICA,722.0,246.0,476.0,0.0,0.0,1.0,542.0,131.0,31.0,6.0,8.0,2.0,1.0,394.0,47.0,145.0,9.0,5.0,122.0,722.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.0,35.0,0.0,722.0
44893,2009,CCS,EDUCACAO FISICA - LICENCIATURA,975.0,447.0,528.0,0.0,0.0,5.0,782.0,141.0,35.0,6.0,5.0,1.0,0.0,528.0,62.0,188.0,11.0,5.0,181.0,974.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,59.0,0.0,975.0
83486,2009,CT,ENGENHARIA AMBIENTAL,150.0,77.0,73.0,0.0,0.0,1.0,137.0,11.0,1.0,0.0,0.0,0.0,0.0,106.0,1.0,14.0,2.0,0.0,27.0,146.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,52.0,0.0,150.0
14351,2009,CT,ENGENHARIA CIVIL,789.0,229.0,560.0,0.0,0.0,1.0,616.0,144.0,15.0,8.0,3.0,0.0,2.0,580.0,10.0,101.0,12.0,3.0,83.0,769.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,226.0,0.0,789.0
83910,2009,CT,ENGENHARIA DE ALIMENTOS,118.0,68.0,50.0,0.0,0.0,0.0,104.0,13.0,1.0,0.0,0.0,0.0,0.0,72.0,5.0,12.0,4.0,0.0,25.0,116.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,18.0,0.0,118.0
83936,2009,CT,ENGENHARIA DE BIOPROCESSOS,110.0,51.0,59.0,0.0,0.0,0.0,104.0,5.0,1.0,0.0,0.0,0.0,0.0,71.0,5.0,12.0,1.0,0.0,21.0,110.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,27.0,0.0,110.0
83904,2009,CT,ENGENHARIA DE COMPUTACAO E INFORMACAO,122.0,14.0,108.0,0.0,0.0,1.0,111.0,9.0,0.0,0.0,0.0,1.0,0.0,91.0,2.0,12.0,5.0,0.0,12.0,117.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,51.0,0.0,122.0
83906,2009,CT,ENGENHARIA DE CONTROLE E AUTOMACAO,110.0,12.0,98.0,0.0,0.0,0.0,108.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,6.0,2.0,0.0,22.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,47.0,0.0,110.0
14368,2009,CT,ENGENHARIA DE MATERIAIS,138.0,54.0,84.0,0.0,0.0,0.0,114.0,22.0,2.0,0.0,0.0,0.0,0.0,75.0,4.0,27.0,1.0,0.0,31.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,33.0,0.0,138.0
83908,2009,CT,ENGENHARIA DE PETROLEO,138.0,47.0,91.0,0.0,0.0,0.0,127.0,10.0,1.0,0.0,0.0,0.0,0.0,91.0,4.0,22.0,1.0,1.0,19.0,130.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,42.0,0.0,138.0
14352,2009,CT,ENGENHARIA DE PRODUCAO,443.0,128.0,315.0,0.0,0.0,1.0,394.0,39.0,6.0,1.0,1.0,1.0,0.0,336.0,2.0,36.0,8.0,0.0,61.0,427.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,152.0,0.0,443.0
14350,2009,CT,ENGENHARIA ELETRICA,448.0,74.0,374.0,0.0,0.0,0.0,337.0,97.0,12.0,1.0,1.0,0.0,0.0,299.0,14.0,65.0,3.0,1.0,66.0,437.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,127.0,0.0,448.0
85825,2009,CT,ENGENHARIA ELETRONICA E DE COMPUTACAO,441.0,59.0,382.0,0.0,0.0,2.0,342.0,75.0,17.0,4.0,1.0,0.0,0.0,298.0,7.0,59.0,6.0,0.0,71.0,430.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,159.0,0.0,441.0
14355,2009,CT,ENGENHARIA MECANICA,684.0,72.0,612.0,0.0,0.0,2.0,526.0,147.0,7.0,2.0,0.0,0.0,0.0,481.0,21.0,85.0,10.0,0.0,87.0,673.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,153.0,0.0,684.0
14353,2009,CT,ENGENHARIA METALURGICA,165.0,45.0,120.0,0.0,0.0,1.0,132.0,27.0,3.0,1.0,1.0,0.0,0.0,114.0,6.0,26.0,2.0,1.0,16.0,162.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,34.0,0.0,165.0
14354,2009,CT,ENGENHARIA NAVAL E OCEANICA,419.0,71.0,348.0,0.0,0.0,1.0,307.0,92.0,10.0,5.0,4.0,0.0,0.0,279.0,8.0,65.0,2.0,3.0,62.0,413.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,102.0,0.0,419.0
14367,2009,CT,ENGENHARIA QUIMICA,794.0,388.0,406.0,0.0,0.0,5.0,632.0,131.0,20.0,5.0,1.0,0.0,0.0,586.0,17.0,104.0,9.0,1.0,77.0,782.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,221.0,0.0,794.0
14330,2009,CCMN,ESTATISTICA,48.0,29.0,19.0,0.0,0.0,0.0,34.0,10.0,3.0,1.0,0.0,0.0,0.0,28.0,3.0,9.0,0.0,0.0,8.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,0.0,48.0
14369,2009,CCS,FARMACIA,638.0,477.0,161.0,0.0,0.0,3.0,577.0,48.0,9.0,1.0,0.0,0.0,0.0,424.0,14.0,104.0,9.0,1.0,86.0,633.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,294.0,0.0,638.0
14346,2009,CFCH,FILOSOFIA,73.0,25.0,48.0,0.0,0.0,0.0,54.0,6.0,3.0,0.0,5.0,3.0,2.0,22.0,0.0,14.0,0.0,0.0,37.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,0.0,73.0
14323,2009,CCMN,FISICA,191.0,32.0,159.0,0.0,0.0,3.0,157.0,28.0,1.0,1.0,1.0,0.0,0.0,108.0,10.0,33.0,4.0,1.0,35.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,71.0,0.0,191.0
29307,2009,CCMN,FISICA - FISICA MEDICA,46.0,14.0,32.0,0.0,0.0,0.0,23.0,17.0,2.0,3.0,1.0,0.0,0.0,29.0,1.0,10.0,1.0,1.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,11.0,0.0,46.0
