NU_ANO_CENSO,NO_CURSO,CO_CURSO,DURACAO,CENTRO,EVASAO,RETENCAO,SUCESSO,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,QT_MAT,QT_ING,QT_CONC
2010,FARMÁCIA,120922,5.0,MACAE,17.045454545454543,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,7.6923076923076925,,,19.047619047619047,,,16.417910447761194,,,152.0,79.0,0.0
2010,MEDICINA,121850,6.0,MACAE,24.137931034482758,,,,,,,,,0.0,,,,,,,,,,,,20.0,,,,,,0.0,,,7.6923076923076925,,,37.5,,,81.0,59.0,0.0
2010,NUTRIÇÃO,121852,5.0,MACAE,11.11111111111111,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,11.76470588235294,,,55.0,39.0,0.0
2010,QUÍMICA,120924,5.0,MACAE,29.310344827586203,,,,,,,,,0.0,,,,,,,,,,,,31.57894736842105,,,0.0,,,8.333333333333332,,,32.142857142857146,,,26.666666666666668,,,87.0,46.0,0.0
2010,ADMINISTRAÇÃO,14365,5.0,CCJE,29.208633093525183,,,,,,,,,0.0,,,,,,,,,,,,25.481798715203425,,,20.0,,,36.11111111111111,,,28.57142857142857,,,30.103806228373703,,,683.0,191.0,7.0
2010,ARQUITETURA E URBANISMO,14333,5.0,CLA,10.909090909090908,,,,,,,,,0.0,,,,,,,,,,,,6.675224646983311,,,2.941176470588235,,,5.844155844155844,,,13.436692506459949,,,9.720534629404618,,,1365.0,287.0,109.0
2010,ARTES CÊNICAS - CENOGRAFIA,23965,4.0,CLA,14.285714285714285,,,,,,,,,0.0,,,,,,,,,,,,5.0,,,50.0,,,26.31578947368421,,,15.555555555555555,,,13.432835820895523,,,135.0,39.0,14.0
2010,ARTES CÊNICAS - DIREÇÃO TEATRAL,23977,4.0,CFCH,30.434782608695656,,,,,,,,,0.0,,,,,,,,,,,,20.0,,,75.0,,,40.0,,,20.0,,,38.46153846153847,,,63.0,15.0,1.0
2010,ARTES CÊNICAS - INDUMENTÁRIA,35557,4.0,CLA,12.173913043478262,,,,,,,,,0.0,,,,,,,,,,,,4.285714285714286,,,60.0,,,23.52941176470588,,,18.181818181818183,,,11.538461538461538,,,142.0,41.0,15.0
2010,ASTRONOMIA,14324,4.0,CCMN,36.36363636363637,,,,,,,,,0.0,,,,,,,,,,,,44.44444444444444,,,0.0,,,7.142857142857142,,,44.18604651162791,,,21.73913043478261,,,61.0,19.0,1.0
2010,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,99321,4.0,CCJE,7.894736842105263,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,6.896551724137931,,,8.235294117647058,,,145.0,40.0,35.0
2010,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,1125885,4.0,CCJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,49.0,0.0
2010,CIÊNCIA DA COMPUTAÇÃO,85783,5.0,CCMN,14.869888475836431,,,,,,,,,0.0,,,,,,,,,,,,9.863013698630137,,,6.666666666666667,,,16.216216216216218,,,14.102564102564102,,,20.0,,,562.0,104.0,74.0
2010,CIÊNCIAS ATUARIAIS,14331,4.0,CCMN,23.25581395348837,,,,,,,,,0.0,,,,,,,,,,,,18.867924528301888,,,0.0,,,10.0,,,21.951219512195124,,,24.444444444444443,,,122.0,56.0,26.0
2010,CIÊNCIAS BIOLÓGICAS,44900,4.0,CCS,82.93515358361775,,,,,,,,,0.0,,,,,,,,,,,,76.15894039735099,,,82.35294117647058,,,91.52542372881356,,,85.6,,,80.95238095238095,,,79.0,29.0,26.0
2010,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,112584,4.0,CCS,33.78378378378378,,,,,,,,,0.0,,,,,,,,,,,,25.0,,,0.0,,,38.46153846153847,,,26.666666666666668,,,44.827586206896555,,,81.0,32.0,3.0
2010,CIÊNCIAS BIOLÓGICAS: MICROBIOLOGIA E IMUNOLOGIA,112586,4.0,CCS,13.157894736842104,,,,,,,,,0.0,,,,,,,,,,,,4.545454545454546,,,0.0,,,15.789473684210526,,,15.0,,,12.162162162162163,,,146.0,47.0,29.0
2010,CIÊNCIAS BIOLÓGICAS: MODALIDADE MÉDICA,112582,4.0,CCS,9.815950920245399,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,20.0,,,11.363636363636363,,,9.243697478991598,,,231.0,84.0,31.0
2010,CIÊNCIAS CONTÁBEIS,14364,5.0,CCJE,7.5,,,,,,,,,0.0,,,,,,,,,,,,4.281345565749235,,,0.0,,,5.607476635514018,,,8.47457627118644,,,6.097560975609756,,,731.0,176.0,100.0
2010,CIÊNCIAS CONTÁBEIS,1125881,5.0,CCJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,56.0,0.0
2010,CIÊNCIAS ECONÔMICAS,14366,4.0,CCJE,8.279430789133247,,,,,,,,,0.0,,,,,,,,,,,,7.18562874251497,,,0.0,,,8.536585365853659,,,7.9245283018867925,,,9.053497942386832,,,916.0,207.0,141.0
2010,CIÊNCIAS MATEMÁTICAS E DA TERRA,116844,3.0,CCMN,48.03921568627451,,,,,,,,,0.0,,,,,,,,,,,,32.69230769230769,,,50.0,,,30.76923076923077,,,45.16129032258064,,,52.5,,,218.0,165.0,0.0
2010,CIÊNCIAS SOCIAIS,314348,4.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0,143.0,80.0
2010,COMPOSIÇÃO DE INTERIOR,14337,4.0,CLA,17.94871794871795,,,,,,,,,0.0,,,,,,,,,,,,13.513513513513514,,,0.0,,,7.142857142857142,,,25.0,,,17.431192660550458,,,135.0,39.0,14.0
2010,COMPOSIÇÃO PAISAGÍSTICA,14338,4.0,CLA,17.80821917808219,,,,,,,,,0.0,,,,,,,,,,,,17.02127659574468,,,50.0,,,0.0,,,5.555555555555555,,,21.818181818181817,,,82.0,22.0,15.0
2010,COMUNICAÇÃO VISUAL DESIGN,116842,4.0,CLA,14.917127071823206,,,,,,,,,0.0,,,,,,,,,,,,15.789473684210526,,,0.0,,,4.545454545454546,,,9.411764705882353,,,19.791666666666664,,,231.0,77.0,4.0
2010,CONSERVAÇÃO E RESTAURAÇÃO,1114294,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,20.0,0.0
2010,DANÇA,14372,5.0,CCS,12.272727272727273,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,0.0,,,14.583333333333334,,,0.0,,,14.720812182741117,,,233.0,40.0,12.0
2010,DANÇA,1107284,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,39.0,0.0
