NU_ANO_CENSO,NO_CURSO,CO_CURSO,IN_COMUNITARIA,IN_CONFESSIONAL,DURACAO,CENTRO,QT_MAT_AMPLA,QT_ING_AMPLA,QT_CONC_AMPLA,EVASAO,RETENCAO,SUCESSO,EVASAO_PUBLICA_TOTAL,RETENCAO_PUBLICA_TOTAL,SUCESSO_PUBLICA_TOTAL,EVASAO_PRIVADA_TOTAL,RETENCAO_PRIVADA_TOTAL,SUCESSO_PRIVADA_TOTAL,EVASAO_NAO INFORMADA_TOTAL,RETENCAO_NAO INFORMADA_TOTAL,SUCESSO_NAO INFORMADA_TOTAL,EVASAO_ETNICO_TOTAL,RETENCAO_ETNICO_TOTAL,SUCESSO_ETNICO_TOTAL,EVASAO_REDE PUBLICA_TOTAL,RETENCAO_REDE PUBLICA_TOTAL,SUCESSO_REDE PUBLICA_TOTAL,EVASAO_SOCIAL_TOTAL,RETENCAO_SOCIAL_TOTAL,SUCESSO_SOCIAL_TOTAL,EVASAO_AMPLA_TOTAL,RETENCAO_AMPLA_TOTAL,SUCESSO_AMPLA_TOTAL,EVASAO_BRANCA_TOTAL,RETENCAO_BRANCA_TOTAL,SUCESSO_BRANCA_TOTAL,EVASAO_PRETA_TOTAL,RETENCAO_PRETA_TOTAL,SUCESSO_PRETA_TOTAL,EVASAO_PARDA_TOTAL,RETENCAO_PARDA_TOTAL,SUCESSO_PARDA_TOTAL,EVASAO_MASCULINO_TOTAL,RETENCAO_MASCULINO_TOTAL,SUCESSO_MASCULINO_TOTAL,EVASAO_FEMININO_TOTAL,RETENCAO_FEMININO_TOTAL,SUCESSO_FEMININO_TOTAL,QT_MAT,QT_ING,QT_CONC
2009,ENGENHARIA AMBIENTAL,83486,,,5.0,CT,150.0,44.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,44.0,14.0
2009,ENGENHARIA CIVIL,14351,,,5.0,CT,789.0,137.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.0,137.0,81.0
2009,ENGENHARIA DE ALIMENTOS,83910,,,5.0,CT,118.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,44.0,1.0
2009,ENGENHARIA DE BIOPROCESSOS,83936,,,5.0,CT,110.0,43.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,43.0,6.0
2009,ENGENHARIA DE COMPUTACAO E INFORMACAO,83904,,,5.0,CT,122.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,30.0,3.0
2009,ENGENHARIA DE CONTROLE E AUTOMACAO,83906,,,5.0,CT,110.0,25.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,25.0,11.0
2009,ENGENHARIA DE MATERIAIS,14368,,,5.0,CT,138.0,40.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,40.0,13.0
2009,ENGENHARIA DE PETROLEO,83908,,,5.0,CT,138.0,37.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,37.0,14.0
2009,ENGENHARIA DE PRODUCAO,14352,,,5.0,CT,443.0,106.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.0,106.0,68.0
2009,ENGENHARIA ELETRICA,14350,,,5.0,CT,448.0,89.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,89.0,48.0
2009,ENGENHARIA ELETRONICA E DE COMPUTACAO,85825,,,5.0,CT,441.0,117.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0,117.0,52.0
2009,ENGENHARIA MECANICA,14355,,,5.0,CT,684.0,139.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.0,139.0,61.0
2009,ENGENHARIA METALURGICA,14353,,,5.0,CT,165.0,40.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,40.0,16.0
2009,ENGENHARIA NAVAL E OCEANICA,14354,,,5.0,CT,419.0,72.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0,72.0,47.0
2009,ENGENHARIA QUIMICA,14367,,,5.0,CT,794.0,256.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,256.0,111.0
2009,ESTATISTICA,14330,,,4.0,CCMN,48.0,27.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,27.0,4.0
2009,FARMACIA,14369,,,5.0,CCS,638.0,147.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,147.0,118.0
2009,FISICA,14323,,,4.0,CCMN,191.0,42.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,42.0,29.0
2009,FISICA - FISICA MEDICA,29307,,,4.0,CCMN,46.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2.0,12.0
2009,FISICA - LICENCIATURA,44363,,,5.0,CCMN,372.0,90.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0,90.0,20.0
2009,FISIOTERAPIA,14373,,,4.0,CCS,339.0,91.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,91.0,69.0
2009,FONOAUDIOLOGIA,14376,,,4.0,CCS,349.0,89.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,89.0,60.0
2009,GEOGRAFIA,14326,,,4.0,CCMN,375.0,43.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,43.0,79.0
2009,GEOLOGIA,14327,,,5.0,CCMN,271.0,34.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,34.0,58.0
2009,GRAVURA,14340,,,4.0,CLA,90.0,13.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,13.0,15.0
2009,HISTORIA DA ARTE,113332,,,4.0,CLA,65.0,68.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,68.0,0.0
2009,MATEMATICA,14328,,,4.0,CCMN,90.0,36.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,36.0,9.0
