NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA_TOTAL,RETENCAO_PUBLICA_TOTAL,SUCESSO_PUBLICA_TOTAL,EVASAO_PRIVADA_TOTAL,RETENCAO_PRIVADA_TOTAL,SUCESSO_PRIVADA_TOTAL,EVASAO_NAO INFORMADA_TOTAL,RETENCAO_NAO INFORMADA_TOTAL,SUCESSO_NAO INFORMADA_TOTAL,CENTRO,EVASAO_ETNICO_TOTAL,RETENCAO_ETNICO_TOTAL,SUCESSO_ETNICO_TOTAL,EVASAO_REDE PUBLICA_TOTAL,RETENCAO_REDE PUBLICA_TOTAL,SUCESSO_REDE PUBLICA_TOTAL,EVASAO_SOCIAL_TOTAL,RETENCAO_SOCIAL_TOTAL,SUCESSO_SOCIAL_TOTAL,EVASAO_AMPLA_TOTAL,RETENCAO_AMPLA_TOTAL,SUCESSO_AMPLA_TOTAL,EVASAO_BRANCA_TOTAL,RETENCAO_BRANCA_TOTAL,SUCESSO_BRANCA_TOTAL,EVASAO_PRETA_TOTAL,RETENCAO_PRETA_TOTAL,SUCESSO_PRETA_TOTAL,EVASAO_PARDA_TOTAL,RETENCAO_PARDA_TOTAL,SUCESSO_PARDA_TOTAL,EVASAO_MASCULINO_TOTAL,RETENCAO_MASCULINO_TOTAL,SUCESSO_MASCULINO_TOTAL,EVASAO_FEMININO_TOTAL,RETENCAO_FEMININO_TOTAL,SUCESSO_FEMININO_TOTAL,EVASAO,RETENCAO,SUCESSO
2023,7157.0,1538.0,657.0,5.036125708897681,34.178045544647716,20.54163338853282,4.817249823921639,30.381683416655434,18.70223015364316,0.19202322663559268,0.14993747084152062,0.8945695380203615,CLA,3.0487118323571356,21.09885905584138,9.138956281965939,4.336125682666728,30.82903255610001,16.894214132107187,2.1124315178882767,17.363862391233955,8.934642228792349,5.559947927995628,32.85021287436906,23.13418681171916,2.987878148051838,15.435076070566591,22.478051413433928,1.7571230134794398,8.062233228414215,5.132215280930943,2.60731560264242,21.091516346221447,10.446930816753774,2.9511599324824256,23.460699179138093,11.04237653022466,6.916602243530027,39.11314480754061,29.096056549971674,9.703139310805899,52.3480621812219,39.80833667108637
2009,382.0,209.0,0.0,,,,,,,,,,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,622.0,314.0,21.0,,,,,,,,,,MACAE,,,,,,,,,,19.397274060328435,,,4.0561127536152,,,0.712843614668327,,,0.5188541362174803,,,6.786835421653488,,,12.61043863867495,,,19.397274060328435,,
2011,843.0,428.0,18.0,1.6159464532225336,,,,,,20.97800896168972,,,MACAE,,,,1.6159464532225336,,,1.6159464532225336,,,20.97800896168972,,,3.184618795940858,,,0.5067389302626506,,,1.8813045575639153,,,6.100618774197062,,,16.493336640715192,,,22.59395541491225,,
2012,1089.0,463.0,28.0,10.110200955096646,,,,,,15.018910039478268,,,MACAE,,,,5.281348040932772,,,7.944208195316827,,,19.847762953642142,,,5.787053745003142,,,0.5621270017554847,,,1.9775536605348536,,,9.261743478229064,,,15.867367516345853,,,25.129110994574912,,
2013,1271.0,392.0,52.0,26.6802612667582,,,1.8938918599916608,,,0.9907625957980011,,,MACAE,1.1340920097922433,,,5.037500008275084,,,0.5424244455881376,,,12.213341557789468,,,3.984595489953467,,,0.3492265816403105,,,2.112174961843262,,,6.025493130651651,,,11.2253484354129,,,17.25084156606455,,
2014,1462.0,489.0,72.0,9.524063592931011,,,0.2654307123751965,,0.7595939232486139,16.288899965620303,,33.525162685188015,MACAE,3.228713341703883,,,6.902312631948365,,,2.4080590494613947,,,12.867046419026826,21.94143205085711,34.28475660843662,4.97182533152402,3.555953776597173,15.929655090667797,1.067993036473779,1.1197084498935999,3.053752280666029,2.368053108168754,3.590548684705801,5.402097851257309,6.472420275834767,7.754177815319376,4.518637571648724,13.296938775140424,18.998692378174983,29.7661190367879,19.76935905097519,21.94143205085711,34.28475660843662
2015,1604.0,498.0,198.0,11.751246218645722,,1.411715461003207,7.001871248764978,,1.2884557720211465,1.7154752389717265,24.22313523285546,46.11376753290394,MACAE,5.069309762167685,,,9.14049353178503,,1.411715461003207,4.012982287145942,,,10.943558477160662,23.815101819474766,46.64073115969654,2.0693494983426906,8.601196116290103,26.232409009296934,0.3728684707540165,0.4322479461148806,4.153044930366096,3.294494213991801,2.9788616740035976,10.82213588749721,7.021200914547956,4.693604835367403,16.93106961502661,13.062851094397738,21.003082898493968,41.673048874007726,20.08405200894569,21.638125419546327,47.39966680553178
2016,1752.0,552.0,165.0,9.3327162585059,10.110177167082387,8.028700029617742,6.655379948743555,,3.784405720132844,0.141997995322419,58.07047077098716,30.385099435032185,MACAE,4.29717354229289,,,7.665182773531741,14.717464271068497,4.992104975016715,3.7840462203844107,19.916676152423957,,6.560057144205332,40.416911383191405,37.206100209766056,1.304457459332802,16.150836611904147,19.369096409805,0.588387865280793,1.38971998696142,2.617014955939962,2.2241171141041054,6.902136782271117,9.315455349452732,5.140220023600116,25.390509257933363,9.7972360089513,9.085019894136957,33.230033395076205,32.40096917583147,14.225239917737072,43.71098591893876,42.19820518478277
2017,1953.0,516.0,164.0,5.081030913247507,59.17646314662319,12.207252690665857,3.842351332644418,,13.088498324214235,0.5003019651495372,8.851293481274507,11.864619031416062,MACAE,2.9286222142759657,,0.5533547129472427,4.231032278493646,22.76891299636094,7.362417716024283,2.1819085014602946,3.4047167253998376,0.620053718525705,4.9985173705312675,42.29453522324397,29.79795233027187,0.32650998088786104,18.87080447887984,19.196540375946594,0.821445401509182,3.085168219032861,2.664488873087187,1.5210466423955853,7.547089282187855,8.21144137708213,3.2839562095532226,25.42490081673657,8.43775288213774,6.2082545245902985,38.31989019456443,28.72261716415841,9.229549649024912,54.105294094704206,37.16037004629615
2018,2110.0,542.0,178.0,6.257888105920345,41.64706529842705,15.910166860236405,6.059671648668306,26.150662108483775,21.847874843977536,0.2855183466576773,2.0388089063757486,6.096950581341849,MACAE,3.6342769387863685,14.265665968706168,3.0727548056809595,5.863373424501743,22.359562885289083,9.607917860867067,3.24930463494634,10.10969415034007,3.6961367812162425,6.460087616411857,34.11944073867505,34.24707442468872,3.015370631833876,12.620610454339129,22.452467553036957,0.7954231145106783,2.2692325714196326,3.7046864365372247,3.400325219371058,7.117066001663948,12.317404124440364,4.243855205414748,24.983198424194505,10.844673723458516,8.079605835498851,29.93324433583483,33.01031856209727,12.3234610409136,46.74193892485965,43.85499228555579
2019,2264.0,523.0,246.0,5.816987141688693,29.80265266671477,30.702769061657413,3.9451632151822187,17.680904231935166,31.58051298087836,0.10421261630313453,,2.945737850543167,MACAE,2.8128391533029737,17.36456279445289,11.07601528815239,4.795922323971548,26.256829826400214,23.70418957602466,2.092612434510617,15.500953770677611,10.444331979514649,4.965555349970908,17.719022919303033,41.52483031705428,1.8887369976936306,4.997408140512199,32.0573533679184,0.3576316014547193,2.85506313345412,3.824719070813047,2.641941240123078,14.12271349739863,19.281443923490414,3.886264726742173,15.980699973536757,18.097149966384105,5.875212947200286,24.692082789678473,46.04235284777845,9.761477673942458,32.8100365310354,57.057641801206145
2020,2293.0,505.0,243.0,6.917858409684786,35.011406673659195,24.83321045913364,4.408237493358871,21.227766925566584,28.764658373090626,0.05196203060192445,,1.044574420470425,MACAE,3.1764895090350924,21.52803074599154,10.54282574140883,5.647964781457652,31.880398604713424,19.642556877147562,2.87063319211321,17.47953728104749,9.06007328136245,5.580674068502275,24.380875619179893,34.99988637554712,1.0485156226950543,6.7890684811634445,27.352291911142757,0.4299676406543205,2.000296806253243,4.725970257713395,4.049606792066616,9.042145608877378,17.00283286927839,5.033993868010238,18.82564654563703,19.170633626647017,6.19464498194969,35.15027077648309,35.471809626047666,11.124240849356083,47.935582284210454,46.98097707934803
2021,2364.0,515.0,239.0,5.306045066781197,33.44799389915787,22.287648461896865,4.3554713895679775,21.299016739838084,24.57577532725984,0.09403290377494725,,0.39078237047780195,MACAE,2.500997330603856,20.591725880961253,10.260380589305871,4.621872524891401,30.785826347444576,19.824178926618153,2.2177401172092557,15.759362810918711,10.432732013043374,5.13367683523272,23.947729444643937,27.430027233016357,2.1326138973777455,11.18024131495877,23.845651420303117,0.522800194340183,5.82069750499169,3.423101787022885,2.5625598177839164,17.282500084304754,15.923471189571181,3.3220825502273614,20.88475231966211,14.665164824555891,6.43346680989676,31.752487315620936,32.589041335078626,9.755549360124121,47.79524683145075,47.254206159634506
2022,2399.0,506.0,285.0,5.959350025523109,27.236086924240237,26.89587859429096,4.937692523581654,21.463416436337347,24.681087114401755,,,0.35345696037225544,MACAE,2.5432208512358936,16.005991022690115,12.46159878378438,4.7564783150689065,25.59726794756343,21.777326600130024,2.3591588872837277,16.058891696472216,9.2189245209751,6.0934299862106425,22.844017664690732,30.153096068934946,2.804378833864604,9.209947725734452,25.649263192715253,0.9855004822006858,2.569279999185182,3.6571448814235503,2.850148277863036,16.459606524973875,18.9433007400013,3.5535479422124565,22.33645233153793,16.060561826321884,7.296360359067093,24.491522698502816,35.86986084274309,10.84990830127955,41.592183198430554,51.93042266906497
2023,2477.0,493.0,366.0,2.8745453679567716,16.508796222860784,38.744990497946965,3.176288672699009,9.978118215281109,33.06219112857257,,,0.19102572939334564,MACAE,1.5895805940821064,11.790653050839785,19.520753534140106,2.4637731361057162,16.339242768721295,32.588687195915156,1.2617803543837223,12.279394996405703,14.391523971759701,3.5870609045500643,10.16075499154633,39.409520159997726,0.9898934927701607,1.5976352270974947,35.62385463882899,0.3322537037716691,2.7447377286259695,9.003754596488234,1.2921159236000719,10.581187615271118,23.187654333144057,2.5377754954103633,9.472898375961107,23.889018810454555,3.562605284335959,15.508212091470414,48.10918854545832,6.05083404065578,20.219638263319737,71.99820735591288
2009,110.0,63.0,0.0,,,,,,,,,,CAXIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,201.0,124.0,0.0,,,,,,,,,,CAXIAS,,,,,,,,,,14.29669832654907,,,5.422885572139304,,,,,,,,,5.422885572139304,,,8.87381275440977,,,14.29669832654907,,
2011,285.0,143.0,0.0,2.5983139667350197,,,,,,27.77079479348914,,,CAXIAS,,,,2.5983139667350197,,,2.5983139667350197,,,27.77079479348914,,,2.044744889747304,,,,,,3.319382693598049,,,13.611635427183472,,,16.757473333040693,,,30.36910876022416,,
2012,352.0,138.0,0.0,6.304975086434817,,,,,,19.084651191928877,,,CAXIAS,,,,3.8261479851244946,,,8.097033524361544,,,21.563478293239196,,,6.985399597605974,,,2.896928295418228,,,3.008751071355937,,,10.58790203085505,,,14.801724247508645,,,25.389626278363696,,
